Q1,Q2,Q3,Q4,Class
361,223,289,325,CO2/SMOKE
361,223,289,325,CO2/SMOKE
360,222,288,324,CO2/SMOKE
360,223,289,324,CO2/SMOKE
361,223,289,325,CO2/SMOKE
360,223,288,325,CO2/SMOKE
360,224,288,326,CO2/SMOKE
360,223,288,325,CO2/SMOKE
361,223,288,325,CO2/SMOKE
360,222,288,323,CO2/SMOKE
360,222,288,323,CO2/SMOKE
361,222,288,324,CO2/SMOKE
361,222,287,323,CO2/SMOKE
361,222,287,323,CO2/SMOKE
361,223,288,325,CO2/SMOKE
362,224,288,326,CO2/SMOKE
362,224,287,327,CO2/SMOKE
361,224,286,326,CO2/SMOKE
360,223,286,325,CO2/SMOKE
359,222,285,325,CO2/SMOKE
360,222,285,324,CO2/SMOKE
358,221,284,322,CO2/SMOKE
358,219,285,321,CO2/SMOKE
358,220,284,318,CO2/SMOKE
358,218,284,317,CO2/SMOKE
357,218,284,317,CO2/SMOKE
358,219,284,319,CO2/SMOKE
358,219,283,319,CO2/SMOKE
357,219,283,318,CO2/SMOKE
357,218,283,317,CO2/SMOKE
357,218,282,318,CO2/SMOKE
357,220,283,321,CO2/SMOKE
358,221,283,320,CO2/SMOKE
357,221,282,321,CO2/SMOKE
357,220,282,321,CO2/SMOKE
357,221,283,321,CO2/SMOKE
357,220,283,321,CO2/SMOKE
357,220,282,321,CO2/SMOKE
357,221,282,321,CO2/SMOKE
358,220,282,321,CO2/SMOKE
358,221,282,323,CO2/SMOKE
357,221,281,322,CO2/SMOKE
357,220,281,321,CO2/SMOKE
356,220,281,322,CO2/SMOKE
356,220,281,323,CO2/SMOKE
356,220,280,324,CO2/SMOKE
356,221,281,325,CO2/SMOKE
355,220,281,325,CO2/SMOKE
355,220,281,323,CO2/SMOKE
356,220,281,323,CO2/SMOKE
355,219,281,322,CO2/SMOKE
356,220,281,322,CO2/SMOKE
355,219,280,321,CO2/SMOKE
356,220,281,323,CO2/SMOKE
356,221,280,323,CO2/SMOKE
356,220,280,323,CO2/SMOKE
356,221,280,323,CO2/SMOKE
356,221,280,322,CO2/SMOKE
356,220,279,321,CO2/SMOKE
356,220,279,322,CO2/SMOKE
356,221,280,323,CO2/SMOKE
356,220,280,323,CO2/SMOKE
356,220,279,321,CO2/SMOKE
356,219,279,320,CO2/SMOKE
356,218,280,320,CO2/SMOKE
356,221,281,321,CO2/SMOKE
355,219,279,320,CO2/SMOKE
356,219,279,320,CO2/SMOKE
356,219,279,320,CO2/SMOKE
356,219,280,321,CO2/SMOKE
356,219,279,320,CO2/SMOKE
356,220,279,320,CO2/SMOKE
356,219,278,319,CO2/SMOKE
356,218,278,319,CO2/SMOKE
356,218,279,318,CO2/SMOKE
356,219,279,319,CO2/SMOKE
356,219,279,318,CO2/SMOKE
356,219,279,318,CO2/SMOKE
356,218,279,318,CO2/SMOKE
356,219,278,319,CO2/SMOKE
356,219,278,320,CO2/SMOKE
356,219,277,319,CO2/SMOKE
356,219,277,319,CO2/SMOKE
356,219,277,319,CO2/SMOKE
355,219,277,319,CO2/SMOKE
356,219,278,320,CO2/SMOKE
356,219,278,320,CO2/SMOKE
356,219,278,320,CO2/SMOKE
356,219,278,320,CO2/SMOKE
356,220,278,322,CO2/SMOKE
356,220,277,320,CO2/SMOKE
356,219,277,320,CO2/SMOKE
357,219,277,320,CO2/SMOKE
357,219,278,321,CO2/SMOKE
356,219,278,321,CO2/SMOKE
357,220,278,321,CO2/SMOKE
357,220,277,321,CO2/SMOKE
357,220,278,321,CO2/SMOKE
356,219,277,321,CO2/SMOKE
356,219,277,321,CO2/SMOKE
357,220,278,320,CO2/SMOKE
357,220,278,320,CO2/SMOKE
357,220,277,321,CO2/SMOKE
357,220,278,321,CO2/SMOKE
357,220,278,322,CO2/SMOKE
356,219,278,320,CO2/SMOKE
357,219,277,319,CO2/SMOKE
357,220,277,319,CO2/SMOKE
356,219,277,320,CO2/SMOKE
356,220,277,319,CO2/SMOKE
357,219,277,319,CO2/SMOKE
356,219,277,318,CO2/SMOKE
357,218,278,318,CO2/SMOKE
356,218,277,318,CO2/SMOKE
356,218,277,318,CO2/SMOKE
357,218,277,317,CO2/SMOKE
356,218,277,317,CO2/SMOKE
356,218,277,317,CO2/SMOKE
357,218,276,317,CO2/SMOKE
356,217,276,317,CO2/SMOKE
356,218,276,317,CO2/SMOKE
356,218,276,317,CO2/SMOKE
356,218,276,318,CO2/SMOKE
356,218,277,318,CO2/SMOKE
356,219,276,319,CO2/SMOKE
356,218,276,318,CO2/SMOKE
356,218,276,317,CO2/SMOKE
357,219,276,318,CO2/SMOKE
357,218,276,318,CO2/SMOKE
356,218,276,318,CO2/SMOKE
357,218,276,318,CO2/SMOKE
357,218,276,318,CO2/SMOKE
357,219,276,318,CO2/SMOKE
357,220,276,319,CO2/SMOKE
357,219,276,318,CO2/SMOKE
358,220,277,320,CO2/SMOKE
358,221,276,322,CO2/SMOKE
358,221,277,323,CO2/SMOKE
359,222,277,323,CO2/SMOKE
357,221,277,324,CO2/SMOKE
358,221,277,323,CO2/SMOKE
358,221,276,322,CO2/SMOKE
357,220,276,322,CO2/SMOKE
358,220,276,322,CO2/SMOKE
358,221,276,323,CO2/SMOKE
358,222,276,324,CO2/SMOKE
357,221,276,325,CO2/SMOKE
358,221,276,326,CO2/SMOKE
358,222,276,326,CO2/SMOKE
357,221,277,325,CO2/SMOKE
357,222,277,325,CO2/SMOKE
358,221,277,325,CO2/SMOKE
358,222,277,325,CO2/SMOKE
358,222,277,326,CO2/SMOKE
359,222,277,325,CO2/SMOKE
359,222,277,325,CO2/SMOKE
358,222,276,325,CO2/SMOKE
358,221,277,325,CO2/SMOKE
358,221,278,323,CO2/SMOKE
358,220,277,323,CO2/SMOKE
358,220,277,322,CO2/SMOKE
358,220,277,323,CO2/SMOKE
358,220,277,322,CO2/SMOKE
358,220,277,321,CO2/SMOKE
358,221,277,322,CO2/SMOKE
358,222,277,324,CO2/SMOKE
358,221,277,323,CO2/SMOKE
358,221,276,323,CO2/SMOKE
357,220,276,322,CO2/SMOKE
357,219,276,321,CO2/SMOKE
356,219,276,320,CO2/SMOKE
357,219,276,321,CO2/SMOKE
357,219,276,321,CO2/SMOKE
357,219,276,321,CO2/SMOKE
357,220,276,321,CO2/SMOKE
357,219,276,321,CO2/SMOKE
357,218,275,320,CO2/SMOKE
357,220,275,321,CO2/SMOKE
357,219,275,321,CO2/SMOKE
357,219,275,320,CO2/SMOKE
356,218,275,320,CO2/SMOKE
356,219,274,321,CO2/SMOKE
355,218,274,320,CO2/SMOKE
356,218,275,319,CO2/SMOKE
356,218,275,318,CO2/SMOKE
356,218,275,319,CO2/SMOKE
356,218,275,319,CO2/SMOKE
356,218,275,319,CO2/SMOKE
355,217,274,318,CO2/SMOKE
356,218,275,318,CO2/SMOKE
356,218,274,318,CO2/SMOKE
357,219,274,320,CO2/SMOKE
357,219,274,320,CO2/SMOKE
356,219,275,321,CO2/SMOKE
356,219,274,322,CO2/SMOKE
356,220,274,323,CO2/SMOKE
356,220,274,324,CO2/SMOKE
357,221,274,325,CO2/SMOKE
356,221,274,325,CO2/SMOKE
355,220,274,325,CO2/SMOKE
355,220,274,325,CO2/SMOKE
355,220,273,325,CO2/SMOKE
356,220,273,324,CO2/SMOKE
356,220,273,324,CO2/SMOKE
356,220,273,324,CO2/SMOKE
355,219,273,324,CO2/SMOKE
356,220,274,324,CO2/SMOKE
356,220,274,325,CO2/SMOKE
356,221,274,324,CO2/SMOKE
356,220,274,324,CO2/SMOKE
356,220,274,325,CO2/SMOKE
356,221,274,326,CO2/SMOKE
356,221,274,327,CO2/SMOKE
356,222,274,327,CO2/SMOKE
357,222,274,327,CO2/SMOKE
357,222,275,328,CO2/SMOKE
357,222,275,328,CO2/SMOKE
356,222,274,327,CO2/SMOKE
356,221,274,327,CO2/SMOKE
356,221,274,326,CO2/SMOKE
356,221,274,325,CO2/SMOKE
356,220,274,325,CO2/SMOKE
355,219,273,324,CO2/SMOKE
355,219,274,323,CO2/SMOKE
355,219,274,322,CO2/SMOKE
355,218,273,321,CO2/SMOKE
355,218,273,320,CO2/SMOKE
354,217,273,319,CO2/SMOKE
354,216,273,318,CO2/SMOKE
354,217,273,319,CO2/SMOKE
360,227,278,341,CO2/SMOKE
361,227,279,342,CO2/SMOKE
361,228,278,341,CO2/SMOKE
360,227,278,340,CO2/SMOKE
360,226,277,339,CO2/SMOKE
360,225,277,338,CO2/SMOKE
359,225,277,337,CO2/SMOKE
358,224,276,337,CO2/SMOKE
359,224,277,336,CO2/SMOKE
360,224,277,336,CO2/SMOKE
360,225,277,336,CO2/SMOKE
361,226,278,339,CO2/SMOKE
364,231,280,347,CO2/SMOKE
365,235,282,353,CO2/SMOKE
366,236,282,355,CO2/SMOKE
366,237,283,359,CO2/SMOKE
368,239,284,363,CO2/SMOKE
368,241,284,365,CO2/SMOKE
367,240,284,363,CO2/SMOKE
366,237,282,359,CO2/SMOKE
364,233,281,354,CO2/SMOKE
362,231,281,350,CO2/SMOKE
362,230,280,346,CO2/SMOKE
361,228,279,343,CO2/SMOKE
360,227,279,342,CO2/SMOKE
361,227,280,344,CO2/SMOKE
362,230,280,347,CO2/SMOKE
361,230,279,346,CO2/SMOKE
363,232,281,350,CO2/SMOKE
366,237,283,362,CO2/SMOKE
368,241,284,367,CO2/SMOKE
369,243,286,372,CO2/SMOKE
371,249,287,379,CO2/SMOKE
375,258,290,393,CO2/SMOKE
374,256,291,392,CO2/SMOKE
374,254,291,388,CO2/SMOKE
377,257,292,394,CO2/SMOKE
383,270,298,418,CO2/SMOKE
384,272,300,421,CO2/SMOKE
387,276,302,429,CO2/SMOKE
387,277,304,427,CO2/SMOKE
384,270,303,418,CO2/SMOKE
380,262,299,403,CO2/SMOKE
375,253,296,390,CO2/SMOKE
372,246,294,380,CO2/SMOKE
369,240,291,369,CO2/SMOKE
365,235,289,361,CO2/SMOKE
364,233,289,356,CO2/SMOKE
362,229,286,350,CO2/SMOKE
361,228,286,347,CO2/SMOKE
361,227,284,345,CO2/SMOKE
361,227,284,347,CO2/SMOKE
360,226,283,344,CO2/SMOKE
359,225,283,342,CO2/SMOKE
360,225,283,340,CO2/SMOKE
359,225,283,342,CO2/SMOKE
362,230,283,348,CO2/SMOKE
361,229,283,348,CO2/SMOKE
362,230,283,347,CO2/SMOKE
361,229,282,346,CO2/SMOKE
361,228,282,346,CO2/SMOKE
361,228,282,346,CO2/SMOKE
361,229,282,348,CO2/SMOKE
361,230,282,349,CO2/SMOKE
361,229,282,348,CO2/SMOKE
361,231,282,350,CO2/SMOKE
366,239,286,367,CO2/SMOKE
369,246,289,378,CO2/SMOKE
370,245,289,375,CO2/SMOKE
367,242,289,372,CO2/SMOKE
367,239,287,367,CO2/SMOKE
366,238,287,365,CO2/SMOKE
366,239,287,366,CO2/SMOKE
367,241,288,371,CO2/SMOKE
368,242,288,370,CO2/SMOKE
366,239,287,366,CO2/SMOKE
365,237,286,361,CO2/SMOKE
363,233,284,355,CO2/SMOKE
362,230,285,350,CO2/SMOKE
361,229,283,348,CO2/SMOKE
360,227,282,347,CO2/SMOKE
360,227,282,345,CO2/SMOKE
359,226,282,344,CO2/SMOKE
359,226,282,342,CO2/SMOKE
359,225,281,342,CO2/SMOKE
359,225,281,341,CO2/SMOKE
358,225,280,339,CO2/SMOKE
359,225,281,339,CO2/SMOKE
358,225,280,340,CO2/SMOKE
359,226,280,342,CO2/SMOKE
358,225,279,342,CO2/SMOKE
360,230,282,352,CO2/SMOKE
364,239,285,367,CO2/SMOKE
365,241,286,370,CO2/SMOKE
368,244,287,374,CO2/SMOKE
366,240,286,371,CO2/SMOKE
366,240,286,369,CO2/SMOKE
365,241,286,372,CO2/SMOKE
366,241,286,372,CO2/SMOKE
366,241,288,374,CO2/SMOKE
366,241,288,373,CO2/SMOKE
367,243,287,372,CO2/SMOKE
367,242,288,372,CO2/SMOKE
369,245,288,377,CO2/SMOKE
377,260,296,405,CO2/SMOKE
379,265,297,412,CO2/SMOKE
376,259,296,400,CO2/SMOKE
383,267,299,405,CO2/SMOKE
388,276,304,422,CO2/SMOKE
382,267,301,412,CO2/SMOKE
377,258,298,400,CO2/SMOKE
374,253,297,391,CO2/SMOKE
371,246,293,380,CO2/SMOKE
368,241,292,371,CO2/SMOKE
365,236,290,364,CO2/SMOKE
364,233,288,357,CO2/SMOKE
363,231,288,354,CO2/SMOKE
362,230,287,351,CO2/SMOKE
362,230,286,349,CO2/SMOKE
360,227,285,347,CO2/SMOKE
360,227,284,346,CO2/SMOKE
359,226,285,344,CO2/SMOKE
358,225,283,343,CO2/SMOKE
359,225,283,342,CO2/SMOKE
360,225,282,342,CO2/SMOKE
359,225,283,341,CO2/SMOKE
358,224,281,341,CO2/SMOKE
358,225,281,340,CO2/SMOKE
358,226,281,344,CO2/SMOKE
359,227,281,345,CO2/SMOKE
359,227,281,345,CO2/SMOKE
360,229,281,347,CO2/SMOKE
363,234,284,356,CO2/SMOKE
364,236,285,361,CO2/SMOKE
364,236,285,361,CO2/SMOKE
365,238,285,363,CO2/SMOKE
363,236,285,363,CO2/SMOKE
363,235,285,361,CO2/SMOKE
365,238,286,366,CO2/SMOKE
364,237,286,366,CO2/SMOKE
365,239,286,368,CO2/SMOKE
366,241,288,372,CO2/SMOKE
367,242,289,373,CO2/SMOKE
368,244,289,375,CO2/SMOKE
381,262,318,409,CO
382,265,319,410,CO
383,265,319,413,CO
384,268,321,415,CO
385,269,322,415,CO
385,269,323,416,CO
385,269,324,415,CO
386,268,324,414,CO
385,267,324,413,CO
385,268,324,413,CO
385,267,323,412,CO
384,267,324,413,CO
385,268,324,414,CO
385,268,324,414,CO
386,269,325,415,CO
386,269,324,415,CO
386,269,325,415,CO
386,269,325,417,CO
387,271,326,418,CO
387,271,326,419,CO
388,272,327,420,CO
388,272,328,420,CO
388,273,328,423,CO
389,274,330,425,CO
390,276,331,426,CO
390,276,330,425,CO
390,276,332,426,CO
391,277,332,427,CO
392,277,333,429,CO
391,278,334,430,CO
392,280,335,432,CO
393,281,335,433,CO
394,281,335,435,CO
394,282,336,437,CO
395,284,338,441,CO
396,286,339,443,CO
397,287,340,444,CO
398,288,342,446,CO
399,289,343,448,CO
400,291,344,450,CO
400,291,345,452,CO
401,293,346,454,CO
402,293,348,455,CO
403,295,349,456,CO
403,295,350,457,CO
403,296,351,458,CO
404,297,352,460,CO
405,299,354,462,CO
406,300,354,463,CO
408,301,354,464,CO
407,302,357,467,CO
408,304,359,470,CO
410,305,360,471,CO
412,308,361,473,CO
412,309,362,476,CO
414,310,363,478,CO
415,312,365,480,CO
416,315,367,483,CO
418,317,368,487,CO
419,319,370,489,CO
420,320,371,491,CO
421,321,373,492,CO
422,322,375,494,CO
423,324,376,496,CO
424,326,378,499,CO
427,329,380,502,CO
429,332,382,506,CO
431,334,384,510,CO
432,337,387,513,CO
434,339,389,516,CO
435,340,392,519,CO
436,343,394,521,CO
438,344,397,523,CO
439,345,398,524,CO
440,346,400,525,CO
441,346,402,525,CO
440,345,403,525,CO
441,346,404,525,CO
441,347,405,526,CO
441,347,406,526,CO
442,348,407,528,CO
443,349,409,529,CO
444,349,409,530,CO
444,351,410,531,CO
445,351,410,531,CO
445,352,412,532,CO
446,352,412,532,CO
446,353,413,533,CO
447,353,414,533,CO
447,354,415,534,CO
448,354,415,535,CO
448,355,416,536,CO
448,356,416,536,CO
449,356,417,536,CO
448,356,417,537,CO
449,356,418,537,CO
449,355,418,537,CO
449,356,418,537,CO
449,357,419,537,CO
450,357,419,538,CO
451,358,420,540,CO
452,361,421,544,CO
454,364,422,547,CO
456,367,424,550,CO
459,370,426,553,CO
460,371,428,555,CO
462,373,430,557,CO
462,373,432,558,CO
463,374,434,558,CO
463,374,434,558,CO
463,374,436,558,CO
464,374,437,559,CO
464,375,437,559,CO
464,375,438,560,CO
464,376,438,560,CO
464,375,439,560,CO
465,376,440,561,CO
465,376,441,561,CO
465,377,441,563,CO
466,378,443,564,CO
467,378,443,564,CO
467,378,444,564,CO
467,378,444,563,CO
467,378,444,563,CO
468,378,445,563,CO
467,378,446,564,CO
467,378,446,563,CO
467,378,446,563,CO
467,378,446,563,CO
468,379,446,563,CO
467,379,446,564,CO
468,380,447,565,CO
469,380,448,567,CO
469,381,448,566,CO
469,381,448,566,CO
470,381,448,566,CO
469,380,448,565,CO
469,380,448,565,CO
469,380,449,565,CO
469,380,448,564,CO
468,378,448,563,CO
468,379,448,563,CO
468,379,448,564,CO
468,380,448,565,CO
469,381,448,567,CO
469,381,449,567,CO
470,381,449,567,CO
470,382,449,568,CO
471,383,450,569,CO
472,384,451,571,CO
473,385,452,572,CO
474,387,453,574,CO
475,389,455,576,CO
477,390,456,577,CO
477,391,457,578,CO
478,391,459,578,CO
478,392,459,578,CO
478,391,460,578,CO
478,391,460,578,CO
478,391,460,577,CO
477,390,460,576,CO
477,390,460,577,CO
477,390,461,577,CO
477,390,461,577,CO
477,389,460,576,CO
476,389,461,577,CO
476,389,461,576,CO
476,390,461,577,CO
477,391,462,577,CO
477,390,462,577,CO
477,390,462,577,CO
478,390,462,577,CO
478,390,462,577,CO
478,391,462,578,CO
478,391,462,579,CO
479,393,463,579,CO
479,393,463,580,CO
479,393,464,580,CO
480,393,464,581,CO
480,394,465,582,CO
481,395,466,584,CO
481,396,467,585,CO
482,397,467,585,CO
484,398,469,587,CO
484,400,469,588,CO
485,400,471,590,CO
486,401,472,591,CO
486,402,473,592,CO
487,403,473,592,CO
487,403,475,592,CO
488,404,476,593,CO
488,405,476,594,CO
491,406,478,595,CO
491,407,479,596,CO
491,408,480,599,CO
492,409,481,599,CO
493,410,482,600,CO
494,410,483,600,CO
494,411,484,601,CO
494,411,485,601,CO
495,412,486,603,CO
496,413,487,603,CO
497,413,488,603,CO
496,413,489,604,CO
497,413,489,604,CO
497,414,490,604,CO
497,413,490,604,CO
497,414,491,605,CO
498,415,491,606,CO
498,415,491,606,CO
498,415,491,606,CO
499,416,492,607,CO
499,416,493,607,CO
499,417,494,608,CO
499,417,494,608,CO
500,417,495,608,CO
500,417,495,608,CO
499,416,494,606,CO
499,416,494,606,CO
499,416,494,606,CO
499,416,495,606,CO
499,416,495,607,CO
499,417,494,607,CO
499,417,495,607,CO
500,416,495,607,CO
500,416,495,607,CO
500,417,495,607,CO
500,417,495,607,CO
500,417,496,608,CO
501,418,496,608,CO
500,418,496,608,CO
501,418,496,609,CO
500,417,496,608,CO
500,417,496,608,CO
500,418,496,608,CO
502,418,497,609,CO
501,418,496,609,CO
502,419,496,609,CO
501,419,497,609,CO
501,419,498,611,CO
503,421,498,611,CO
503,421,499,612,CO
503,421,500,612,CO
504,422,500,612,CO
504,422,500,612,CO
503,421,500,611,CO
504,421,501,612,CO
504,421,501,612,CO
504,421,502,612,CO
504,422,502,613,CO
504,421,502,613,CO
504,422,502,612,CO
504,422,502,614,CO
505,423,503,615,CO
505,424,503,615,CO
506,424,504,615,CO
505,424,504,615,CO
506,424,504,615,CO
506,424,505,615,CO
506,425,506,616,CO
507,425,506,617,CO
507,425,507,617,CO
507,426,507,617,CO
508,426,508,618,CO
508,427,508,618,CO
508,427,509,618,CO
508,426,509,618,CO
508,427,509,618,CO
508,427,509,618,CO
508,427,509,619,CO
511,430,510,620,CO
510,429,510,620,CO
510,430,511,621,CO
510,429,511,620,CO
510,429,512,621,CO
511,430,512,622,CO
511,430,512,622,CO
511,430,513,622,CO
512,431,513,622,CO
512,431,514,623,CO
512,432,514,624,CO
513,433,515,625,CO
514,433,515,625,CO
514,434,516,625,CO
514,434,516,626,CO
515,434,517,625,CO
515,435,518,626,CO
515,435,518,626,CO
515,435,519,628,CO
516,435,519,627,CO
515,435,519,626,CO
515,435,519,626,CO
515,435,520,626,CO
515,435,519,627,CO
516,436,519,628,CO
516,436,520,628,CO
516,436,520,628,CO
516,436,521,628,CO
516,436,521,627,CO
516,435,521,628,CO
516,435,520,627,CO
516,435,521,627,CO
516,435,520,626,CO
516,435,521,626,CO
516,435,520,626,CO
515,435,520,626,CO
515,435,520,626,CO
515,435,520,626,CO
515,435,520,626,CO
515,435,520,626,CO
515,434,520,626,CO
515,435,520,626,CO
515,434,520,626,CO
515,434,520,626,CO
515,434,520,626,CO
515,434,520,626,CO
514,434,520,626,CO
515,435,521,627,CO
516,436,521,628,CO
516,436,521,627,CO
516,435,521,627,CO
516,435,521,628,CO
516,436,522,627,CO
516,436,521,627,CO
517,436,522,628,CO
517,437,522,628,CO
517,437,522,629,CO
517,437,523,630,CO
517,439,523,630,CO
518,439,524,631,CO
518,439,524,630,CO
518,439,524,630,CO
519,439,525,630,CO
519,439,525,630,CO
518,438,524,630,CO
518,437,524,629,CO
411,265,286,336,FLAMMABLE_GAS
406,261,287,335,FLAMMABLE_GAS
400,263,291,336,FLAMMABLE_GAS
396,266,295,337,FLAMMABLE_GAS
391,265,298,339,FLAMMABLE_GAS
386,262,299,341,FLAMMABLE_GAS
380,257,299,343,FLAMMABLE_GAS
375,253,299,347,FLAMMABLE_GAS
374,255,298,353,FLAMMABLE_GAS
375,258,298,360,FLAMMABLE_GAS
384,263,299,362,FLAMMABLE_GAS
395,278,304,372,FLAMMABLE_GAS
403,294,307,392,FLAMMABLE_GAS
410,307,311,412,FLAMMABLE_GAS
419,317,313,429,FLAMMABLE_GAS
428,330,316,450,FLAMMABLE_GAS
441,348,320,476,FLAMMABLE_GAS
461,372,325,506,FLAMMABLE_GAS
485,396,331,535,FLAMMABLE_GAS
507,415,342,553,FLAMMABLE_GAS
524,427,357,562,FLAMMABLE_GAS
539,436,376,564,FLAMMABLE_GAS
551,443,397,563,FLAMMABLE_GAS
558,445,417,557,FLAMMABLE_GAS
558,440,436,546,FLAMMABLE_GAS
553,432,449,533,FLAMMABLE_GAS
549,427,459,526,FLAMMABLE_GAS
550,431,467,533,FLAMMABLE_GAS
553,437,472,543,FLAMMABLE_GAS
556,438,476,544,FLAMMABLE_GAS
560,441,481,548,FLAMMABLE_GAS
566,451,488,560,FLAMMABLE_GAS
575,463,497,573,FLAMMABLE_GAS
584,473,507,584,FLAMMABLE_GAS
591,479,517,590,FLAMMABLE_GAS
595,483,531,592,FLAMMABLE_GAS
595,484,544,590,FLAMMABLE_GAS
595,482,555,585,FLAMMABLE_GAS
593,479,564,580,FLAMMABLE_GAS
591,475,570,573,FLAMMABLE_GAS
590,471,574,569,FLAMMABLE_GAS
590,471,577,570,FLAMMABLE_GAS
590,473,580,575,FLAMMABLE_GAS
592,475,582,580,FLAMMABLE_GAS
594,475,584,580,FLAMMABLE_GAS
594,473,586,579,FLAMMABLE_GAS
592,472,589,578,FLAMMABLE_GAS
591,473,591,578,FLAMMABLE_GAS
591,474,594,581,FLAMMABLE_GAS
592,475,598,582,FLAMMABLE_GAS
594,476,603,581,FLAMMABLE_GAS
595,477,608,580,FLAMMABLE_GAS
596,478,613,579,FLAMMABLE_GAS
597,479,617,577,FLAMMABLE_GAS
598,477,620,573,FLAMMABLE_GAS
597,476,623,571,FLAMMABLE_GAS
596,475,626,569,FLAMMABLE_GAS
594,474,627,568,FLAMMABLE_GAS
591,472,628,568,FLAMMABLE_GAS
590,472,629,568,FLAMMABLE_GAS
589,472,630,568,FLAMMABLE_GAS
589,472,631,569,FLAMMABLE_GAS
590,473,632,570,FLAMMABLE_GAS
591,474,633,572,FLAMMABLE_GAS
591,474,635,571,FLAMMABLE_GAS
589,473,635,571,FLAMMABLE_GAS
588,473,635,572,FLAMMABLE_GAS
590,474,636,572,FLAMMABLE_GAS
590,473,637,571,FLAMMABLE_GAS
589,473,638,571,FLAMMABLE_GAS
590,472,638,570,FLAMMABLE_GAS
589,471,638,569,FLAMMABLE_GAS
589,471,638,567,FLAMMABLE_GAS
588,470,639,567,FLAMMABLE_GAS
587,469,639,566,FLAMMABLE_GAS
586,469,640,565,FLAMMABLE_GAS
585,467,639,563,FLAMMABLE_GAS
584,465,639,560,FLAMMABLE_GAS
582,463,639,557,FLAMMABLE_GAS
580,461,638,556,FLAMMABLE_GAS
579,461,637,554,FLAMMABLE_GAS
577,459,637,552,FLAMMABLE_GAS
577,457,636,550,FLAMMABLE_GAS
574,456,635,549,FLAMMABLE_GAS
572,454,634,548,FLAMMABLE_GAS
570,452,632,547,FLAMMABLE_GAS
568,451,630,546,FLAMMABLE_GAS
568,451,628,546,FLAMMABLE_GAS
567,451,628,548,FLAMMABLE_GAS
567,451,627,549,FLAMMABLE_GAS
567,451,625,549,FLAMMABLE_GAS
568,452,625,549,FLAMMABLE_GAS
569,452,624,548,FLAMMABLE_GAS
569,451,624,547,FLAMMABLE_GAS
568,449,623,543,FLAMMABLE_GAS
566,447,622,539,FLAMMABLE_GAS
564,445,621,536,FLAMMABLE_GAS
561,442,621,535,FLAMMABLE_GAS
558,440,619,533,FLAMMABLE_GAS
555,437,616,532,FLAMMABLE_GAS
554,436,613,530,FLAMMABLE_GAS
551,434,611,529,FLAMMABLE_GAS
549,433,609,529,FLAMMABLE_GAS
549,434,606,531,FLAMMABLE_GAS
549,435,605,536,FLAMMABLE_GAS
551,437,604,537,FLAMMABLE_GAS
552,437,603,536,FLAMMABLE_GAS
553,438,603,537,FLAMMABLE_GAS
552,435,601,530,FLAMMABLE_GAS
552,434,600,527,FLAMMABLE_GAS
551,431,599,525,FLAMMABLE_GAS
548,428,598,523,FLAMMABLE_GAS
545,426,593,522,FLAMMABLE_GAS
543,425,591,523,FLAMMABLE_GAS
542,426,589,525,FLAMMABLE_GAS
542,427,588,526,FLAMMABLE_GAS
544,429,588,527,FLAMMABLE_GAS
546,430,587,526,FLAMMABLE_GAS
547,430,587,525,FLAMMABLE_GAS
545,429,586,524,FLAMMABLE_GAS
546,427,584,522,FLAMMABLE_GAS
542,424,583,520,FLAMMABLE_GAS
540,422,581,518,FLAMMABLE_GAS
539,422,579,518,FLAMMABLE_GAS
538,420,578,517,FLAMMABLE_GAS
536,418,575,515,FLAMMABLE_GAS
535,417,573,514,FLAMMABLE_GAS
533,415,572,513,FLAMMABLE_GAS
530,413,570,511,FLAMMABLE_GAS
529,412,569,509,FLAMMABLE_GAS
526,409,566,506,FLAMMABLE_GAS
525,408,565,504,FLAMMABLE_GAS
523,406,562,503,FLAMMABLE_GAS
523,406,560,504,FLAMMABLE_GAS
523,406,559,504,FLAMMABLE_GAS
524,408,558,505,FLAMMABLE_GAS
524,407,556,504,FLAMMABLE_GAS
524,406,555,503,FLAMMABLE_GAS
523,405,552,502,FLAMMABLE_GAS
522,404,551,502,FLAMMABLE_GAS
519,403,550,502,FLAMMABLE_GAS
519,402,548,500,FLAMMABLE_GAS
517,400,547,500,FLAMMABLE_GAS
516,400,545,498,FLAMMABLE_GAS
515,399,543,499,FLAMMABLE_GAS
515,399,541,498,FLAMMABLE_GAS
514,399,540,498,FLAMMABLE_GAS
514,398,539,497,FLAMMABLE_GAS
513,397,537,494,FLAMMABLE_GAS
512,395,537,494,FLAMMABLE_GAS
510,393,535,492,FLAMMABLE_GAS
509,393,533,492,FLAMMABLE_GAS
509,393,531,492,FLAMMABLE_GAS
508,393,530,493,FLAMMABLE_GAS
509,393,529,492,FLAMMABLE_GAS
509,392,528,491,FLAMMABLE_GAS
509,392,527,491,FLAMMABLE_GAS
508,391,526,491,FLAMMABLE_GAS
508,391,526,491,FLAMMABLE_GAS
507,390,524,490,FLAMMABLE_GAS
506,389,523,489,FLAMMABLE_GAS
505,389,522,487,FLAMMABLE_GAS
503,386,520,485,FLAMMABLE_GAS
501,384,520,483,FLAMMABLE_GAS
500,382,517,481,FLAMMABLE_GAS
498,382,516,481,FLAMMABLE_GAS
498,382,516,481,FLAMMABLE_GAS
497,381,514,481,FLAMMABLE_GAS
497,382,513,482,FLAMMABLE_GAS
