Q1,Q2,Q3,Q4,Class
391,331,535,603,ALCHOOL
391,329,529,594,ALCHOOL
392,337,530,616,ALCHOOL
394,357,553,669,ALCHOOL
397,369,574,700,ALCHOOL
397,371,581,707,ALCHOOL
395,364,586,698,ALCHOOL
395,361,586,687,ALCHOOL
397,371,606,714,ALCHOOL
400,393,620,749,ALCHOOL
402,399,622,752,ALCHOOL
402,395,614,731,ALCHOOL
401,389,606,711,ALCHOOL
402,387,603,704,ALCHOOL
400,379,593,686,ALCHOOL
400,373,590,676,ALCHOOL
419,484,660,831,ALCHOOL
457,640,755,939,ALCHOOL
470,676,813,953,ALCHOOL
471,661,825,933,ALCHOOL
466,633,830,913,ALCHOOL
459,605,839,899,ALCHOOL
459,598,849,903,ALCHOOL
455,586,855,905,ALCHOOL
451,569,859,896,ALCHOOL
453,570,849,885,ALCHOOL
443,522,823,824,ALCHOOL
434,479,801,753,ALCHOOL
428,450,781,706,ALCHOOL
423,432,771,691,ALCHOOL
419,422,758,683,ALCHOOL
420,428,747,694,ALCHOOL
421,448,748,740,ALCHOOL
421,449,748,751,ALCHOOL
424,467,751,766,ALCHOOL
423,470,758,770,ALCHOOL
424,470,761,764,ALCHOOL
426,477,762,784,ALCHOOL
425,473,756,784,ALCHOOL
423,461,750,767,ALCHOOL
420,439,739,736,ALCHOOL
419,437,729,729,ALCHOOL
419,441,726,743,ALCHOOL
419,445,725,751,ALCHOOL
419,448,724,759,ALCHOOL
420,451,724,764,ALCHOOL
420,449,722,763,ALCHOOL
420,450,722,763,ALCHOOL
420,454,725,773,ALCHOOL
420,454,725,775,ALCHOOL
419,453,722,771,ALCHOOL
420,455,721,771,ALCHOOL
421,457,719,771,ALCHOOL
420,456,719,770,ALCHOOL
419,452,718,767,ALCHOOL
418,438,709,747,ALCHOOL
416,429,700,730,ALCHOOL
415,429,695,725,ALCHOOL
414,427,690,727,ALCHOOL
413,420,683,716,ALCHOOL
412,417,680,715,ALCHOOL
412,417,679,719,ALCHOOL
412,426,680,736,ALCHOOL
412,424,681,740,ALCHOOL
410,410,670,711,ALCHOOL
407,395,657,681,ALCHOOL
403,377,639,641,ALCHOOL
401,365,627,618,ALCHOOL
399,359,617,611,ALCHOOL
398,357,611,612,ALCHOOL
397,357,608,617,ALCHOOL
398,359,607,629,ALCHOOL
398,361,607,641,ALCHOOL
398,362,605,646,ALCHOOL
397,362,604,650,ALCHOOL
399,370,602,662,ALCHOOL
401,379,606,679,ALCHOOL
401,383,613,692,ALCHOOL
461,411,679,665,ALCHOOL
451,404,676,664,ALCHOOL
442,396,667,660,ALCHOOL
434,387,659,652,ALCHOOL
427,382,652,651,ALCHOOL
422,377,645,645,ALCHOOL
417,365,633,621,ALCHOOL
413,358,623,607,ALCHOOL
409,351,614,598,ALCHOOL
407,348,607,596,ALCHOOL
